iter	MultiClass
0	1.450664034
1	1.34117299
2	1.261774848
3	1.199125972
4	1.14910196
5	1.108210417
6	1.074372191
7	1.045418294
8	1.018636531
9	0.9987571932
10	0.9795075286
11	0.9640019157
12	0.9501270216
13	0.9378057478
14	0.927210027
15	0.9172548779
16	0.9084754798
17	0.9006054171
18	0.893565056
19	0.8880292396
20	0.8821490176
21	0.8771632707
22	0.8730327355
23	0.8685939698
24	0.8647605935
25	0.861953516
26	0.858536743
27	0.8556882621
28	0.8532935088
29	0.8513348889
30	0.8488813572
31	0.8467015524
32	0.8449592294
33	0.8428329741
34	0.8408731545
35	0.8394868382
36	0.8380459746
37	0.8367218286
38	0.8350737793
39	0.8337208787
40	0.832682062
41	0.831567829
42	0.8301804625
43	0.829190171
44	0.8282025505
45	0.8273396034
46	0.8264591449
47	0.8253256034
48	0.8244301798
49	0.8235804299
50	0.8225878598
51	0.8215905683
52	0.8207924547
53	0.819924431
54	0.8193046785
55	0.8186709211
56	0.8179262858
57	0.8171359962
58	0.8165596604
59	0.8159484751
60	0.8153039168
61	0.814915751
62	0.8141725781
63	0.813522877
64	0.8128923535
65	0.8123220382
66	0.8118530517
67	0.8113829957
68	0.8109154858
69	0.8104232266
70	0.809898456
71	0.8093093073
72	0.8090323429
73	0.8085711989
74	0.8080669441
75	0.8076359793
76	0.8072300115
77	0.8067394333
78	0.8064414922
79	0.8061004346
80	0.8056707292
81	0.8053210891
82	0.8048060958
83	0.8044881216
84	0.8041795949
85	0.8039093492
86	0.803563991
87	0.8032524246
88	0.8030112405
89	0.8026260131
90	0.8022373769
91	0.8018662229
92	0.8015162122
93	0.801195263
94	0.8009224492
95	0.8006565494
96	0.8003758247
97	0.800130893
98	0.7999108831
99	0.7995433984
100	0.7992186177
101	0.7989948674
102	0.7986564383
103	0.7983996933
104	0.7981073429
105	0.7979144008
106	0.7976510194
107	0.7973966333
108	0.7971872753
109	0.7969562277
110	0.7966567249
111	0.7963422342
112	0.7960765136
113	0.7958290466
114	0.7955541535
115	0.7953349077
116	0.7951527106
117	0.7948871822
118	0.794568881
119	0.7943311086
120	0.7941298272
121	0.7938374896
122	0.7935363127
123	0.7933193152
124	0.79314731
125	0.7929689614
126	0.7928184969
127	0.7925929698
128	0.7923744405
129	0.7921550797
130	0.7919735235
131	0.7918525766
132	0.7914841454
133	0.791354135
134	0.7911890606
135	0.7909968277
136	0.790738262
137	0.7905076737
138	0.7903329268
139	0.7900855667
140	0.78993864
141	0.7896079166
142	0.7893798647
143	0.7892179323
144	0.7890444036
145	0.7889104236
146	0.788765871
147	0.788486298
148	0.7882442867
149	0.7880499501
150	0.7878606018
151	0.7874895161
152	0.7872887298
153	0.78712464
154	0.7869302983
155	0.7867869921
